Listing Title (Required),Listing SEO Title,Listing Email,Listing URL,Listing Address,Listing Address2,Listing Country,Listing Country Abbreviation,Listing Region,Listing Region Abbreviation,Listing State,Listing State Abbreviation,Listing City,Listing City Abbreviation,Listing Neighborhood,Listing Neighborhood Abbreviation,Listing Postal Code,Listing Latitude,Listing Longitude,Listing Phone,Listing Fax,Listing Short Description,Listing Long Description,Listing SEO Description,Listing Keywords,Listing Renewal Date,Listing Status,Listing Level,Listing Category 1,Listing Category 2,Listing Category 3,Listing Category 4,Listing Category 5,Listing Template,Listing DB Id,Custom ID,Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Fax,Account Contact Email,Account Contact URL
Beach Dance School,Beach Dance School,info@beachdanceschool.com,http://www.beachdanceschool.com,2495 Queen st. East,,,,,,,,,,,,M4E 1H9,43.67371,-79.281821,(416) 897-9750,,,,,adult ballet || jazz || hip-hop || tap || creative movement || teen ballet || martial arts || tango,,active,gold,Adults,Ballet,Kids & Teens,,,,11,,,,,,,,,,,,,,,,
Brass Vixens,Brass Vixens,info@brassvixens.com,http://brassvixens.com/home/#welcome,2130 Bloor Street W,,,,,,,,,,,,M6S 1M8,43.652305,-79.472471,(647) 348-2848,,,,,twerk || pole || burlesque || erotic chair dance,,active,gold,Pole,,,,,,12,,,,,,,,,,,,,,,,
Broadway Arts Centre,Broadway Arts Centre,info@broadwayartscentre.com,http://www.broadwayartscentre.com,"35 Golden Ave, Toronto, ON",,,,,,,,,,,,M6R 2J5,43.653899,-79.447876,(647) 294-3211,,,,,jazz || tap || hip-hop || creative movement || ballet || acro || musical || contemporary || studio rental || birthday party,,active,gold,Birthday party,Kids & Teens,Rentals,Ballet,Early dance,,13,,,,,,,,,,,,,,,,
C U Dance Productions,C U Dance Productions,info@CUdance.com,http://cudance.com,509 Bloor Street West,,,,,,,,,,,,M5S 1Y2,43.665629,-79.40841,(647) 795-9095,,,,,salsa || private lessons || bachata,,active,gold,Private lessons,,,,,,14,,,,,,,,,,,,,,,,
Cadence Dance Studio,Cadence Dance Studio,info@schoolcb.com,http://www.schoolcb.com,"593 Yonge St, Toronto, ON ",#301,,,,,,,,,,,M5T 1G2,43.648138,-79.402358,(416) 260-1829,,,,,Ballet || Pointe || Contemporary || Ballroom,,active,gold,Ballet,,,,,,15,,,,,,,,,,,,,,,,
Cadence Dance Academy,Cadence Dance Academy,info@cadencedanceacademy.com,http://www.cadencedanceacademy.com,302 Carlaw Avenue,Unit 105,,,,,,,,,,,M4M 3L1,43.663702,-79.341357,(416) 671-3855,,,,,bachata,,active,gold,,,,,,,16,,,,,,,,,,,,,,,,
Carmen Romero School of Flamenco Dance,Carmen Romero School of Flamenco Dance,carmen@carmenromero.ca,http://carmenromero.ca,228 Merton Street,,,,,,,,,,,,M4S 1A1,,,(416) 899-0987,,,,,flamenco dance school,,active,gold,Bamberas,Cuadro,Flamenco,Rentals,Adults,,17,,,,,,,,,,,,,,,,
City Dance Corps,City Dance Corps,info@citydancecorps.com,http://www.citydancecorps.com,489 Queen Street W,,,,,,,,,,,,M5V 2B4,,,(416) 260-2356,,,,,,,active,gold,Ballet,Hip Hop,Jazz,National dance -> Afro,Tap,,18,,,,,,,,,,,,,,,,
COBA Collective Of Black Artists,COBA Collective Of Black Artists,,http://www.cobainc.com,"585 Dundas St E, Toronto, ON ",Suite 130,,,,,,,,,,,M5A 2B7,43.660104,-79.361891,(416) 658-3111,,,,,,,active,gold,National dance -> Afro,National dance -> Afrocuban,National dance -> Caribbean,Modern,Rentals,,19,,,,,,,,,,,,,,,,
Creative Childrens Dance Centre,Creative Childrens Dance Centre,info@creativechildrensdancecentre.com,http://www.creativechildrensdancecentre.com,"2968 Dundas St W, Toronto, ON",,,,,,,,,,,,M6P 1Y8,43.665670,-79.468316,(416) 762-9200,,,,,,,active,gold,Acro,Ballet,Broadway,Creative,Jazz,,20,,,,,,,,,,,,,,,,
Damidance,Damidance Entertainment,damidance@ymail.com,http://www.damidance.com/classes.html,"51 Juliana Crt, York, ON ",,,,,,,,,,,,M6S 2R3,43.663824,-79.499719,(416) 995-1772,,,,,salsa || wedding lessons,,active,gold,Latin,Modern,Private lessons,Salsa,Wedding dance lessons,,21,,,,,,,,,,,,,,,,
Dance DNA,Dance DNA,info@dancedna.ca,http://dancedna.ca,219 Connie Crescent,Unit # 5,,,,,,,,,,,L4K 1L3,,,(905) 597-3362,,,,,,,active,gold,Ballroom,Latin,Private lessons,Kids & Teens,,,22,,,,,,,,,,,,,,,,
Dance Kids Canada,Dance Kids Canada,,http://www.dancekidscanada.com/index.html,1351 Woodbine Avenue,,,,,,,,,,,,M4C 4G4,,,(416) 422-5920,,,,,,,active,gold,Broadway,Acro,Jazz,Tap,Ballet,,23,,,,,,,,,,,,,,,,
DanceLife Studio,DanceLife Studio,info@dancelifestudio.com,http://dancelifestudio.com,593 Yonge Street,2nd floor,,,,,,,,,,,M4Y 1Z4,,,(647) 725-9658,,,,,,,active,gold,Wedding dance lessons,Private lessons,Adults,Kids & Teens,Ballroom,,24,,,,,,,,,,,,,,,,
DanceTeq ,DanceTeq ,info@danceteq.com,http://danceteq.com,"226 Queen Street W, Toronto, ON",2nd floor,,,,,,,,,,,M5V 1Z6,43.650285,-79.389976,(416) 361-9498,,,,,,,active,gold,Ballet,Pointe,,,,,25,,,,,,,,,,,,,,,,
Dancified,Dancified,,http://dancified.com,300 John Street,2nd floor,,,,,,,,,,,L3T 5W4,,,,,,,,ballet || heels || lyrical || jazz || hip hop,,active,gold,Ballet,Hip Hop,Jazz,Lyrical,Heels,,26,,,,,,,,,,,,,,,,
Dancing With Carolyn,Dancing With Carolyn,dancingwithcarolyn@gmail.com,http://www.dancingwithcarolyn.ca,"427 Bloor St W, Toronto, ON ",,,,,,,,,,,,M5S 1X6,43.666058,-79.405693,(416) 806-3311,,,,,,,active,gold,Acro,Adults,Ballet,Birthday party,Kids & Teens,,27,,,,,,,,,,,,,,,,
Dancingland Dance Studio,Dancingland Dance Studio,,http://dancingland.com,6 Tippett Road,,,,,,,,,,,,M3H 1V1,,,(416) 358-5595,,,,,,,active,gold,Line dance,Waltz,Rumba,Private lessons,Wedding dance lessons,,28,,,,,,,,,,,,,,,,
Dansation School of Dance,Dansation School of Dance,Dansation@Hotmail.ca,http://www.dansation.ca,882A Eglinton Avenue W,,,,,,,,,,,,M6C 2B6,,,(416) 671-0471,,,,,,,active,gold,Bachata,Salsa,,,,,29,,,,,,,,,,,,,,,,
Different Stages,Different Stages,info@differentstages.ca,http://www.differentstages.ca,160 Glenholme Avenue,,,,,,,,,,,,M6E 3C4,,,(647) 823-2374,,,,,,,active,gold,Adults,Groove,Jazz,Kids & Teens,,,30,,,,,,,,,,,,,,,,
Dragonfly Bellydance,Dragonfly Bellydance,dragonflybellydance@gmail.com,http://www.dragonflydance.ca,"559 Bloor St W, Toronto, ON",2nd floor,,,,,,,,,,, M5S 1Y6,43.665165,-79.410685,(416) 534-0330,,,,,,,active,gold,Belly dance,,,,,,31,,,,,,,,,,,,,,,,
Dynamic Dance Arts,Dynamic Dance Arts,,http://dynamicdancearts.com,6 Dixon Road,,,,,,,,,,,,M9P 2K9,,,(416) 792-2150,,,,,,,active,gold,Birthday party,Creative,Ballet,Hip Hop,Acro,,32,,,,,,,,,,,,,,,,
Eglinton Dance Academy,Eglinton Dance Academy,,,373a Eglinton Avenue W,,,,,,,,,,,,M5N 1A3,,,(416) 797-8052,,,,,,,active,gold,,,,,,,33,,,,,,,,,,,,,,,,
El Abrazo Argentine Tango Classes,El Abrazo Argentine Tango Classes,tangoilona@gmail.com,http://www.elabrazo.ca,206 Beverley Street,1 block south of College and St. George,,,,,,,,,,,M5T 1Z3,,,(416) 767-0033,,,,,,,active,gold,Adults,Tango,,,,,34,,,,,,,,,,,,,,,,
Frog Jump Swing Dance!,Frog Jump Swing Dance!,,http://www.frogjumpdance.ca,16 Baby Point Road,,,,,,,,,,,,M6S 2E9,43.658201,-79.489452,(647) 403-4410,,,,,,,active,gold,Lindy hop,Charleston,,,,,35,,,,,,,,,,,,,,,,
Gadfly,Gadfly,info@gadfly.ca,http://gadfly.ca,304 Parliament Street,,,,,,,,,,,,M5A 3A4,,,(647) 989-6809,,,,,hip hop || jazz || house,,active,gold,Hip Hop,House,Jazz,Private lessons,,Listing,36,,,,,,,,,,,,,,,,
Habeebas Dance Studio,Habeebas Dance Studio,dance@habeeba.com,http://www.habeeba.com,"179 Dundas St E, Toronto, ON",,,,,,,,,,,,M5A 1Z4,43.657000,-79.374191,(416) 920-8580,,,,,,,active,gold,Belly dance,Rentals,,,,,37,,,,,,,,,,,,,,,,
Harbourfront Centre,Harbourfront Centre,,,235 Queens Quay W,,,,,,,,,,,,M5J 2G8,,,(416) 973-4000,,,,,,,active,gold,,,,,,,38,,,,,,,,,,,,,,,,
Harbourfront Dance Studio,Harbourfront Dance Studio,info@theartofdance.org,http://www.theartofdance.org/index.htm,500 Queens Quay W,,,,,,,,,,,,,,,(416) 205-9264 ,,,,,,,active,gold,Ballroom,Latin,,,,,39,,,,,,,,,,,,,,,,
HH Dance & Fitness,HH Dance & Fitness,info@hhdance.com,http://www.hhdance.com/cms/,7310 Woodbine Avenue,Unit 7A,,,,,,,,,,,L3R 1A4,,,(416) 721-5226,,,,,,,active,gold,Ballroom,Salsa,Private lessons,,,,40,,,,,,,,,,,,,,,,
InStudio - The National Ballet Of Canada,InStudio - The National Ballet Of Canada,info@national.ballet.ca,http://national.ballet.ca/Explore/In-Studio?,470 Queens Quay W,,,,,,,,,,,,M5V 3K4,,,(416) 345-9595,,,,,,,active,gold,Ballet,Jazz,Pointe,,,,41,,,,,,,,,,,,,,,,
JDanse Studio,JDanse Studio,jdansestudio@gmail.com,http://www.jdansestudio.com,150 Nantucket Boulevard,,,,,,,,,,,,M1P 2P1,,,(416) 830-5601,,,,,,,active,gold,Ballet,Jazz,Hip Hop,Acro,Pointe,,42,,,,,,,,,,,,,,,,
Joy of Dance Centre,Joy of Dance Centre,,http://www.joyofdance.ca/,"95 Danforth Ave, Toronto, ON ",,,,,,,,,,,,M4K 1N2,43.676089,-79.358458,(416) 406-3262,,,,,,,active,gold,Performances,Parties,Rentals,Adults,Kids & Teens,,43,,,,,,,,,,,,,,,,
L\'ambiance Dance Centre,Lambiance Dance Centre,,http://www.lambiance.ca,29 Tandem Road,,,,,,,,,,,,L4K 3G1,,,(905) 763-9669,,,,,,,active,gold,Bachata,Ballroom,Salsa,Rentals,Parties,,44,,,,,,,,,,,,,,,,
L\'Arabesque Ballet,LArabesque Ballet,larabesqueballet@gmail.com,http://www.larabesqueballet.com,300 John Street,#200,,,,,,,,,,,L3T 5W4,,,(647) 523-9054,,,,,,,active,gold,Ballet,Pointe,Kids & Teens,Adults,,,45,,,,,,,,,,,,,,,,
Leaside Dance School,Leaside Dance School,info@leasidedance.com,http://www.leasidedance.com,"1399 Bayview Avenue, Toronto, ON ",,,,,,,,,,,,M4G 3A6 ,43.701980,-79.373699,(416) 519-3979,,,,,,,active,gold,Adults,Kids & Teens,Dance Camps,Ballet,Early dance,,46,,,,,,,,,,,,,,,,
Legacy of Dance Academy,Legacy of Dance Academy,legacyofdance@rogers.com,http://www.legacyofdance.com/index.php,"4077 Gordon Baker Rd, Scarborough, ON",,,,,,,,,,,,M1W 2S7,43.811036,-79.334674,(416) 492-4491,,,,,,,active,gold,Adults,National dance -> Armenian,Ballet,Birthday party,National dance -> Folk,,47,,,,,,,,,,,,,,,,
Liberty Dance,Liberty Dance,admin@libertydance.org,http://www.libertydance.org,171 E Liberty Street,,,,,,,,,,,,M6K 3P6,,,(416) 755-5423,,,,,,,active,gold,Ballet,Birthday party,Tap,Contemporary,Acro,,48,,,,,,,,,,,,,,,,
Lindy Hop Revolution,Lindy Hop Revolution,info@lindyhoprevolution.com,http://lindyhoprevolution.com,703 Bloor Street W,,,,,,,,,,,,M6G 1L5,,,(647) 858-9944,,,,,,,active,gold,Charleston,Jazz,Lindy hop,Performances,Private lessons,,49,,,,,,,,,,,,,,,,
London School of Dance,London School of Dance,info@studio24.com.bz,http://www.dancelondon.ca,24 Progress Avenue,,,,,,,,,,,,M1P 2Y4,,,(416) 298-9938,,,,,,,active,gold,Birthday party,Ballet,Rentals,Parties,Private lessons,,50,,,,,,,,,,,,,,,,
Lopa Sarkar & Divine Heritage Artistry,Lopa Sarkar & Divine Heritage Artistry,bollywoodgrooves@hotmail.com,http://www.lopasarkar.com,,,,,,,,,,,,,,,,(416) 624-9021,,,,,,,active,gold,Bollywood,,,,,,51,,,,,,,,,,,,,,,,
Marie Ann Longlade School of Dance,Marie Ann Longlade School of Dance,,http://www.longladedance.com,1650 Dundas Street E,Suite 205,,,,,,,,,,,L4X 2Z3,43.614228,-79.576674,(905) 276-7471,,,,,,,active,gold,Acro,Hip Hop,Jazz,Kids & Teens,Ballet,,52,,,,,,,,,,,,,,,,
Martha Hicks School of Ballet,Martha Hicks School of Ballet,office@mhsb.ca,http://www.mhsb.ca,1660 Avenue Road,2nd floor,,,,,,,,,,,M5M 3X9,,,(416) 484-4731,,,,,,,active,gold,Adults,Kids & Teens,Ballet,Contemporary,Jazz,,53,,,,,,,,,,,,,,,,
Mazouka Dance,Mazouka Dance,,http://www.mazouka.com,527 Bloor Street W,,,,,,,,,,,,M5S 1Y5,,,(647) 773-3887,,,,,,,active,gold,Zouk,Salsa,Private lessons,,,,54,,,,,,,,,,,,,,,,
Metro Movement Dance Studio,Metro Movement Dance Studio,,http://metromovement.com/,"833 Broadview Ave, Toronto, ON ",,,,,,,,,,,,M4K 2P9,43.678872,-79.357852,(416) 463-9174,,,,,,,active,gold,Ballet,Jazz,Tap,Contemporary,Adults,,55,,,,,,,,,,,,,,,,
Oip Dance Centre,Oip Dance Centre,,http://www.oipdance.com,190 Richmond Street E,,,,,,,,,,,,M5A 1P1,,,(647) 477-5225,,,,,,,active,gold,Hip Hop,Jazz,Contemporary,Heels,,,56,,,,,,,,,,,,,,,,
OLSI Dancesport,OLSI Dancesport,,http://olsidancesport.com,24 Martin Ross Ave,,,,,,,,,,,,M3J 2K8,,,(416) 665-1387,,,,,,,active,gold,Ballroom,Latin,Wedding dance lessons,Competition,,,57,,,,,,,,,,,,,,,,
Pegasus Studios,Pegasus Studios,pegasusstudios@rogers.com,http://www.pegasusstudios.com,361 Glebeholme Boulevard,,,,,,,,,,,,M4C 1T9,,,(416) 469-2799,,,,,,,active,gold,Adults,Ballet,Hip Hop,Jazz,Lyrical,,58,,,,,,,,,,,,,,,,
Pia Bouman School For Ballet and Creative Movement,Pia Bouman School For Ballet and Creative Movement,info@piaboumanschool.org,http://www.piaboumanschool.org,6 Noble Street,,,,,,,,,,,,M6K 2C6,,,(416) 533-3706,,,,,,,active,gold,Ballet,Early dance,Creative,Pointe,Rentals,,59,,,,,,,,,,,,,,,,
Pitt Studio,Pitt Studio,,,"46 St Clair Ave E, Toronto, ON ",,,,,,,,,,,,M4T 1M9,43.688726,-79.391913,(647) 907-7837,,,,,,,active,gold,,,,,,,60,,,,,,,,,,,,,,,,
Propel Dance Centre,Propel Dance Centre,info@propeldancecentre.com,http://www.propeldancecentre.com,240 Manor Road E,,,,,,,,,,,, M4S 1R8,,,(855) 537-4824,,,,,,,active,gold,Ballet,Birthday party,Early dance,Hip Hop,Kids & Teens,,61,,,,,,,,,,,,,,,,
Social Dance Spot,Social Dance Spot,classes@SocialDanceSpot.com,http://socialdancespot.com,1209 Saint Clair Avenue W,,,,,,,,,,,,M6E 1B5,,,(647) 718-0067,,,,,,,active,gold,Adults,National dance -> Afro,Bachata,Hip Hop,Kids & Teens,,62,,,,,,,,,,,,,,,,
Step Up Dance Camp,Step Up Dance Camp,,http://www.stepupdancecamp.com,3581 Dundas Street W,,,,,,,,,,,,M6S 2S8,,,(647) 209-8852,,,,,,,active,gold,Kids & Teens,,,,,,63,,,,,,,,,,,,,,,,
Tango by Leeliana,Tango by Leeliana,Leeliana@gmail.com,http://tangobyleeliana.com,427 Bloor Street W,,,,,,,,,,,,M5S 1X6,,,,,,,,,,active,gold,Adults,Tango,Waltz,,,,64,,,,,,,,,,,,,,,,
Tango Soul,Tango Soul,,http://www.tangosoul.org,817 Mount Pleasant Road,,,,,,,,,,,,M4P 2Z4,,,(647) 226-5377,,,,,,,active,gold,Tango,,,,,,65,,,,,,,,,,,,,,,,
The School of Toronto Dance Theatre,The School of Toronto Dance Theatre,info@schooloftdt.org,http://schooloftdt.org,"80 Winchester St, Toronto, ON",,,,,,,,,,,,M4X 1B2,43.666431,-79.367015,416-967-6887,,,,,,,active,gold,Adults,Contemporary,Creative,Early dance,Kids & Teens,,66,,,,,,,,,,,,,,,,
The Space,The Space,linette@the-space.ca,http://www.the-space.ca,1324 Danforth Avenue,,,,,,,,,,,,M4J 1M9,,,(416) 850-1677,,,,,,,active,gold,Adults,Kids & Teens,Creative,Ballet,Tap,,67,,,,,,,,,,,,,,,,
The Toronto School of Burlesque,The Toronto School of Burlesque,,http://www.torontoschoolofburlesque.com,721 Queen St W,,,,,,,,,,,,,,,(416) 884-7297,,,,,,,active,gold,Ballet,Go Go,Hip Hop,Showgirls,Burlesque,,68,,,,,,,,,,,,,,,,
Thornhill School of Ballet,Thornhill School of Ballet,,http://www.thornhillschoolofballet.ca,11 Glen Cameron Rd,,,,,,,,,,,,L3T 4N3,,,(905) 882-9796,,,,,,,active,gold,,,,,,,69,,,,,,,,,,,,,,,,
Toronto Dance,Toronto Dance,torontodance@hotmail.com,http://www.torontodance.ca,38 Elm Street,,,,,,,,,,,,M5G 2K5,43.657599,-79.383640,(416) 598-4077,,,,,,,active,gold,Adults,Ballroom,Latin,,,,70,,,,,,,,,,,,,,,,
Toronto Dance Industry,Toronto Dance Industry,,http://www.torontodanceindustry.com,"1530 Birchmount Rd, Scarborough, ON",,,,,,,,,,,,M1P 2G9,43.759828,-79.290489,(416) 285-4470,,,,,,,active,gold,Acro,Adults,Ballet,Competition,Contemporary,Listing,71,,,,,,,,,,,,,,,,
Toronto Dance Salsa,Toronto Dance Salsa,info@torontodancesalsa.ca,http://www.torontodancesalsa.ca,5095 Yonge Street,,,,,,,,,,,,M2N 6Z4,,,(416) 628-8287,,,,,,,active,gold,Bachata,Kizomba,Salsa,Tango,Rentals,,72,,,,,,,,,,,,,,,,
Toronto School of Ballet,Toronto School of Ballet,info@torontoschoolofballet.ca,http://www.torontoschoolofballet.ca,3785 Kingston Road,,,,,,,,,,,,M1J 3H4,,,(647) 352-5538,,,,,,,active,gold,Ballet,Pointe,Competition,Early dance,Jazz,,73,,,,,,,,,,,,,,,,
Toronto Social Dance School,Toronto Social Dance School,dancetor@gmail.com,http://www.ballroomdancingtoronto.com,39 Glen Cameron Road,,,,,,,,,,,,L3T 1P1,,,(905) 763-2623,,,,,,,active,gold,Salsa,Swing,Belly dance,Tango,Private lessons,,74,,,,,,,,,,,,,,,,
Vadim Mostovoy,Vadim Mostovoy,,,,,,,,,,,,,,,,,,(416) 894-5315,,,,,,,active,gold,,,,,,,75,,,,,,,,,,,,,,,,
Walker Dance Studios,Walker Dance Studios,WalkerDanceStudios@gmail.com,http://walkerdancestudios.com,1 Glouchester Street,,,,,,,,,,,,M4Y 1L8,,,(647) 606-8337,,,,,,,active,gold,Ballroom,Private lessons,Wedding dance lessons,Early dance,,,76,,,,,,,,,,,,,,,,
Zumba With Serena,Zumba With Serena,,,179 Dundas Street E,,,,,,,,,,,,,,,(647) 823-2468,,,,,,,active,gold,,,,,,,77,,,,,,,,,,,,,,,,
Hogtown Swing Dance Studio,Hogtown Swing Dance Studio,,http://www.hogtownswing.com,805 Dovercourt Rd,,,,,,,,,,,,M6H 2X4 ,,,416-464-4775,,,,,,,active,gold,Balboa,Jazz,Swing,Lindy hop,,,78,,,,,,,,,,,,,,,,
Sugar Hoops,Sugar Hoops,,http://www.sugarhoops.com,805 Dovercourt Rd,,,,,,,,,,,,M6H 2X4 ,,,(647) 882-4884,,,,,,,active,gold,Hoop dance,Birthday party,Parties,,,,79,,,,,,,,,,,,,,,,
GOdanz,GOdanz,Info@godanz.com,http://godanz.com,"805 Dovercourt Rd, Toronto, ON ",,,,,,,,,,,,M6H 2X4 ,43.662778,-79.429509,(416) 995-7638,,,,,,,active,gold,Kizomba,Salsa,,,,,80,,,,,,,,,,,,,,,,
towestcoast,towestcoast,julie@towestcoast.com,http://towestcoast.com,805 Dovercourt Rd,,,,,,,,,,,,M6H 2X4 ,,,416-920-0394,,,,,,,active,gold,Blues,Top 40 dance,R&B,,,,81,,,,,,,,,,,,,,,,
the move,the move,info@themovecollective.org,http://www.themovecollective.org,805 Dovercourt Rd,,,,,,,,,,,,M6H 2X4 ,,,,,,,,,,active,gold,Adults,Kids & Teens,Ecstatic Dance,,,,82,,,,,,,,,,,,,,,,
Argentine Tango Dance - Paradiso,Argentine Tango Dance - Paradiso,paradisotango@gmail.com,http://www.torontoargentinetango.blogspot.ca,805 Dovercourt Rd,,,,,,,,,,,,M6H 2X4 ,,,,,,,,,,active,gold,Tango,,,,,,83,,,,,,,,,,,,,,,,
Mostly Waltz,Mostly Waltz,mostlyw@gmail.com,http://www.mostlywaltz.ca,805 Dovercourt Rd,,,,,,,,,,,,M6H 2X4 ,,,,,,,,,,active,gold,National dance -> Polka,Swing,Waltz,Wedding dance lessons,,,84,,,,,,,,,,,,,,,,
Swing Toronto ,Swing Toronto ,,http://swingtoronto.com,805 Dovercourt Rd,,,,,,,,,,,,M6H 2X4 ,,,,,,,,,,active,gold,Swing,Lindy hop,,,,,85,,,,,,,,,,,,,,,,
Ecstatic Dance Toronto,Ecstatic Dance Toronto,info@tribaldancecommunity.com,http://www.tribaldancecommunity.com,805 Dovercourt Rd,,,,,,,,,,,,M6H 2X4 ,,,,,,,,,,active,gold,Ecstatic Dance,,,,,,86,,,,,,,,,,,,,,,,
5Rhythms,Waves 5Rhythms Class with Taeji,5R@windovergrass.com,https://5rhythmstoronto.com/,805 Dovercourt Rd,,,,,,,,,,,,M6H 2X4 ,,,(416) 520-2209,,,,,,,active,gold,Ecstatic Dance,,,,,,87,,,,,,,,,,,,,,,,
Toronto Contra Dance,Toronto Contra Dance,info@tcdance.org,http://ieee.uwaterloo.ca/~tcd/,175 Hampton Ave,,,,,,,,,,,,,,,(416) 703-4932,,,,,,,active,gold,Country,National dance -> Folk,,,,,88,,,,,,,,,,,,,,,,
